id	comment	country_code	longitude	latitude	name_de	name_fr	synonymous
516			77.22496	28.635307	Neu Delhi	Nouvelle-Delhi	Nuova Delhi, New Delhi, Delhi
531			8.308929	47.050037			Lucerne, Lucerna, Luzern
532			13.636389	53.008611			Karinhall
551							Polom
552			17.83085	49.662548			Odry
553			11.49789	48.790447			Bayern (Bundesland), Baviera, Bavière
555			9.836142	46.4951			St. Moritz, St. Moritz GR, Saint Moritz
560			21.6	43.2	Balkan		Balcani, Pays balkaniques, Balkans
562			9.364397	47.417927			Saint-Gall, Sankt Gallen [Stadt], Saint-Gall [Ville], St. Gallen [Stadt], St. Gallen, St-Gall [Ville], San Gallo [Città]
564			21.00586	44.01652			Serbien, Serbia, Serbie
565			15.2	45.1	Kroatien	Croatie	Croazia, Hrvatska
582			5.672916	46.762474			Giura, Jura
583			11.75	47.16667			Prealpi, Voralpen, Préalpes
622			24.941025	60.173325			Helsinki, Helsingfors
627			7.01243	46.34129			Leysin, Leysin (Camp), Leysin (Lager) - Flüchtlingsheim für Rekonvaleszente (Lungenkranke)
645			11.288801	46.734097			Südtirol, Sudtirolo, Tirolo del Sud, Alto Adige, Tyrol du Sud, Haut-Adige, Haut Adige
646							Maginot-Linie, Linea Maginot, Ligne Maginot
661			6.316408	46.439836			Choisi
663							Ural, Urali, Oural
664			69.21667	41.266666			Taschkent, Tachkent
665			-0.57918	44.837788			Bordeaux
670			6.133317	46.250015			Pregny GE, Pregny-Chambésy GE
671			6.18511	46.198406			Chêne-Bougeries
673			10.05215	54.32061			Drontheim
674			10.582547	59.953433			Grini
676			9.526731	46.85726	Chur	Coire	Coira
677			7.537955	47.208656			Solothurn, Soletta, SO, Soleure
678			9.181759	48.775417			Stoccarde, Stoccarda, Stuttgart
679			8.737565	47.49995			Winterthour, Winterthur ZH, Winterthur, Oberwinterthur
683			-75.00028	15.00028			"Karibisches Meer, Karibik
Mer des Caraïbe, Caraibi, Caraïbes, Caraïbes (Mer des), Caraïbe"
688			8.800453	46.331734	Tessin (Kanton)	Tessin (Canton)	Ticino
689			7.544923	46.19046	Wallis	Valais (Canton)	Vallese (Cantone)
691			17.290283	41.85509	Adria	Mer Adriatique	Adriatico (Mare)
708			6.821634	47.097874			La Chaux-de-Fonds (NE)
709			8.592609	46.969437			Grütli, Rütli, Rütli-Schwur, Rütli (serment), Grutli
711							Hof-Plauen (SBZ)
712			12.453389	41.902916			Vatikan, St-Siège, Vaticano, Saint-Siège, Santa Sede, Vatican, Heiliger Stuhl
713					Deutschland/Anglo-amerikanische Zone (seit 1946)	Allemagne/Zone anglo-américaine (depuis 1946)	Anglo-amerikanische Zone Deutschlands (seit 1946), Bizone (seit Dez. 1946), Germania/Bizona (dal dicembre 1946), Germania/Zona anglo-americana
714			8.483769	47.010387			Vitznau, Viznau
715			12.480425	47.707962			Oberwössen
716							Braunstein (Bezirk)
719					Deutschland/Amerikanische Besatzungszone	Allemagne/zone d'occupation américaine	Deutschland/Amerikanische Zone, Germania/Zona americana, Germania/Zona d'occupazione americana, Allemagne/zone américaine
720							Allemagne/zone d'occupation française, Deutschland/Französische Besatzungszone, Deutschland/Französische Zone, Germania/Zona francese, Germania/Zona d'occupazione francese, Allemagne/zone française
721			9.389244	47.636337			Lac de Constance, Bodensee, Lago di Costanza, Constance (Lac)
722			9.173239	47.677948	Konstanz	Constance	Costanza
724			9.74231	47.50075			Bregenz
725			9.63975	47.453			St. Margrethen, Sankt Margrethen
726			9.195575	47.705486			Mainau
727			9.063254	47.694965			Reichenau
728			9.282481	47.387005			Herisau AR, Herisau
729			7.560472	46.49278			Adelboden
730			8.030958	46.624893			Grindelwald
732			7.842104	47.99901			Freiburg im Breisgau, Freiburg i.Br., Friborgo in Brisgovia, Fribourg en Brisgau
733			13.972366	48.025852			Oberösterreich, Haute-Autriche
734			8.544875	47.409332			Oerlikon, Zürich-Oerlikon
735			8.717528	47.34849			Uster
